No,성별,학과,학년,A1,A2,A3,B1,B2,B3,B4,B5,C1,C2,D1,D2,D3
1,2,5,2,1,2,4,4,4,4,4,4,4,5,3,4,1
2,2,4,1,1,3,5,4,4,4,4,3,3,5,1,4,2
3,1,1,1,1,3,1,3,2,4,4,2,1,3,1,1,1
4,1,3,1,4,2,4,3,2,3,5,1,1,5,1,5,1
5,1,2,2,2,1,3,3,3,2,5,3,4,4,2,2,3
6,2,1,4,1,1,5,4,2,1,4,4,3,5,2,2,1
7,1,3,4,5,3,4,3,3,3,5,3,2,4,1,3,1
8,2,6,3,1,3,3,4,4,4,4,4,3,4,3,2,1
9,2,5,2,1,1,5,5,5,3,5,1,3,5,3,2,1
10,2,2,4,1,1,3,3,2,2,4,1,4,4,1,1,4
11,2,5,3,2,2,3,4,4,4,4,4,1,5,3,4,1
12,1,5,4,2,4,2,3,3,4,4,4,2,5,1,1,1
13,2,6,3,2,3,3,5,5,5,4,3,2,5,3,1,1
14,2,5,1,2,1,5,4,5,5,5,5,4,4,2,1,1
15,2,6,4,3,3,3,3,3,1,3,3,3,3,1,1,1
16,1,2,3,3,3,3,4,4,4,4,4,3,4,2,2,2
17,2,2,3,1,2,3,3,3,3,3,3,3,5,3,2,3
18,2,4,4,1,3,2,3,2,3,3,2,3,4,3,2,2
19,2,4,3,2,2,1,5,5,5,5,1,3,4,2,3,2
20,2,5,3,1,1,1,5,1,3,5,1,4,4,3,1,3
21,2,5,3,2,2,3,5,5,5,5,2,3,4,2,2,2
22,2,5,3,1,5,5,3,3,4,5,4,3,4,1,2,1
23,2,3,2,1,1,3,3,4,3,4,2,3,3,3,4,1
24,2,3,2,1,2,3,4,3,4,3,5,4,3,3,2,1
25,2,3,3,4,2,2,5,2,4,5,5,2,4,2,1,1
26,2,3,1,1,2,4,2,2,3,3,2,3,4,2,1,3
27,2,5,3,1,1,2,1,1,2,2,1,4,4,1,2,1
28,2,2,3,2,4,3,2,3,2,4,1,2,4,2,2,1
29,2,4,1,2,4,3,4,4,3,3,5,3,3,2,1,1
30,1,3,3,1,1,1,5,5,5,5,5,3,3,2,2,1
31,1,4,3,2,1,3,2,2,3,3,2,4,3,1,2,1
32,1,3,1,1,1,5,3,4,4,4,1,3,5,3,1,3
33,1,3,4,1,1,4,3,2,3,2,1,4,3,2,1,3
34,2,5,2,1,1,5,3,3,5,3,3,3,5,3,2,1
35,2,3,1,2,3,3,2,2,1,5,2,4,5,2,1,1
36,2,2,1,2,2,3,3,4,4,5,1,4,4,2,1,1
37,2,6,1,3,3,2,4,3,3,4,4,3,4,1,1,1
38,2,4,1,1,1,3,2,2,2,4,1,4,4,1,1,1
39,1,4,1,1,1,5,5,3,5,5,2,3,4,3,1,1
40,1,2,2,1,1,1,2,2,3,2,2,3,5,3,1,1
41,2,7,4,1,3,1,2,4,1,4,3,4,3,1,2,3
42,2,7,3,2,3,3,2,1,3,4,3,3,4,2,2,3
43,2,5,1,2,2,4,4,4,3,5,3,3,4,2,1,1
44,2,3,2,2,3,3,3,3,3,5,3,3,3,3,2,1
45,2,5,4,2,2,4,3,3,3,4,2,1,5,1,2,1
46,1,2,1,1,1,1,2,3,1,3,1,3,4,1,1,1
47,1,6,1,1,1,3,3,3,3,3,3,3,4,2,1,1
48,2,3,4,2,2,1,2,2,3,1,2,4,3,3,4,3
49,2,2,4,1,1,5,1,1,1,4,1,3,3,2,2,2
50,1,3,1,1,1,1,1,1,4,2,2,2,4,1,4,1
51,2,4,4,2,2,4,5,4,3,4,4,4,3,3,2,1
52,1,6,2,4,2,4,4,5,5,5,3,3,4,2,2,2
53,2,7,3,1,2,2,1,1,4,4,1,2,4,1,2,1
54,2,5,2,1,1,5,4,4,3,4,2,4,5,1,1,1
55,2,3,3,2,1,5,5,5,3,4,5,4,5,3,1,3
56,2,2,3,1,1,5,3,5,4,5,3,3,5,3,1,2
57,1,8,4,3,3,3,3,3,3,3,3,2,3,1,1,1
58,2,6,3,1,2,5,5,5,5,5,4,3,4,3,2,2
59,2,4,4,2,3,2,2,2,2,3,2,3,4,1,2,1
60,2,3,3,1,3,3,3,3,3,2,2,2,3,1,4,1
61,1,3,2,2,3,4,4,4,5,4,3,4,4,3,2,1
62,2,6,3,1,2,2,4,4,4,5,5,3,4,2,2,2
63,2,6,3,1,1,5,5,3,5,5,5,3,3,3,2,3
64,2,3,1,3,1,5,3,4,5,5,5,4,4,3,1,3
65,2,4,3,3,1,3,4,4,3,4,4,3,5,3,1,1
66,2,2,1,1,1,4,3,3,4,4,1,3,5,3,1,1
67,2,6,1,1,1,1,3,3,3,3,1,3,4,3,1,3
68,2,5,3,1,1,3,3,4,3,4,2,3,5,2,1,1
69,2,3,3,1,3,3,3,3,2,3,1,4,3,3,1,3
70,1,2,3,2,1,4,4,3,4,5,2,3,4,2,2,1
71,2,2,3,4,1,5,3,5,1,4,1,4,4,3,2,1
72,1,7,1,1,1,4,4,4,3,4,2,1,4,3,2,3
73,2,3,1,1,1,3,3,3,3,3,1,3,4,2,1,3
74,1,3,1,2,2,3,3,3,4,4,1,3,4,2,1,1
75,2,5,4,1,1,1,1,1,4,4,1,3,5,3,2,3
76,2,2,3,2,3,3,4,4,4,4,4,2,4,2,2,2
77,1,2,1,2,1,4,3,4,2,4,3,4,4,3,1,1
78,2,5,4,2,3,4,3,4,1,2,2,3,5,3,4,1
79,2,2,1,2,2,3,3,3,2,5,2,3,5,3,2,1
80,2,2,4,1,1,5,5,3,1,2,5,3,4,3,4,1
81,2,4,4,1,1,3,4,3,4,4,4,2,3,2,1,1
82,2,3,4,5,5,5,4,5,3,5,2,3,4,2,2,1
83,1,2,1,3,4,4,4,4,3,4,4,2,4,3,1,1
84,2,2,3,2,4,5,4,4,3,4,2,3,4,3,2,1
85,1,2,3,1,1,1,5,3,4,4,3,2,5,3,2,1
86,1,3,1,2,4,2,4,4,4,4,3,3,5,3,1,3
87,2,3,4,4,5,3,4,3,5,5,3,3,4,2,2,2
88,2,3,1,1,1,4,4,4,3,5,3,3,5,3,1,1
89,1,2,1,2,3,3,3,4,1,1,3,4,3,2,2,3
90,2,3,2,2,1,4,5,5,5,5,2,2,3,3,2,1
91,2,2,1,4,3,5,5,5,4,5,5,2,4,2,2,1
92,2,6,1,1,3,3,4,3,3,3,2,2,4,1,1,1
93,2,5,1,2,3,4,3,3,3,3,3,4,4,2,1,1
94,1,4,4,1,2,3,3,3,3,4,3,3,4,2,2,1
95,2,2,4,1,4,4,4,4,2,3,2,3,3,2,2,1
96,1,3,4,4,4,4,4,4,1,4,4,4,3,3,2,3
97,2,7,1,1,2,3,3,3,3,3,3,3,4,2,2,1
98,1,6,3,2,1,4,3,3,1,3,3,3,3,2,2,1
99,1,7,3,1,1,3,3,2,1,4,1,3,4,3,2,3
100,1,3,2,1,1,5,5,5,3,3,1,3,5,1,2,2
101,1,3,4,1,5,2,3,2,3,4,4,2,4,1,2,1
102,2,3,4,2,3,5,5,5,5,5,4,3,1,2,1,1
103,1,4,1,1,1,4,4,2,1,2,3,3,4,2,2,1
104,2,4,1,1,2,3,2,2,3,4,2,3,4,1,1,1
105,1,1,1,2,2,4,4,2,4,4,2,4,4,2,1,3
106,2,4,3,1,1,3,4,5,4,3,2,2,4,2,1,1
107,1,4,2,2,2,3,3,4,4,4,3,2,5,2,2,2
